Customer ID,Age,Gender,Location,Purchase Amount,Product Category,Payment Method,Frequency of Purchase,Subscription Status,Review Rating,Previous Purchases
CUST10111,56.0,F,San Diego,15.33,Clothing,DEBIT CARD,Weekly,N,3.4,6
CUST10328,56.0,F,Houston,81.66,Toys,Bank transfer,Quarterly,N,2.3,7
CUST10173,,female,Phoenix,47.2,Accessories,DEBIT CARD,Weekly,no,3.3,7
CUST10411,52.0,male,Boston,135.51,Toys,cash,Monthly,y,4.9,10
CUST10537,56.0,m,Miami,,Sports,Cash,Annually,Y,4.9,6
CUST10453,,F,Chicago,38.87,Toys,credit card,Bi-Weekly,no,,9
CUST10064,37.0,FEMALE,Miami,51.14,Toys,Bank transfer,Annually,no,1.3,10
CUST10165,41.0,Male,Chicago,113.95,Groceries,CASH,Annually,n,4.5,13
CUST10078,41.0,female,New York,131.52,Groceries,paypal,Quarterly,YES,1.1,10
CUST10338,17.0,FEMALE,San Antonio,160.97,,Credit Card,Quarterly,NO,5.0,7
CUST10590,49.0,f,San Antonio,66.77,Toys,debit card,Quarterly,no,3.5,9
CUST10415,35.0,f,Seattle,154.23,Groceries,Bank Transfer,Quarterly,Y,3.2,5
CUST10474,27.0,Female,Miami,131.51,Groceries,cash,Weekly,No,3.9,9
CUST10025,34.0,Male,San Antonio,218.94,Beauty,credit card,Bi-Weekly,Y,3.0,6
CUST10591,24.0,Female,San Antonio,117.83,Home & Kitchen,Bank transfer,Monthly,y,4.1,9
CUST10306,41.0,f,,115.54,Beauty,cash,Quarterly,n,1.5,8
CUST10108,110.0,Female,Phoenix,99.71,Books,Bank transfer,Quarterly,N,4.0,11
CUST10074,17.0,m,Boston,57.02,Clothing,Pay Pal,Monthly,YES,4.2,8
CUST10230,55.0,male,Boston,42.2,Groceries,bank transfer,Bi-Weekly,n,2.0,11
CUST10107,40.0,m,Dallas,101.41,Footwear,CREDIT CARD,Quarterly,y,1.9,8
CUST10400,47.0,f,Houston,185.06,Accessories,Credit card,Bi-Weekly,Yes,3.7,5
CUST10413,37.0,female,Houston,88.32,Books,Bank Transfer,Bi-Weekly,No,2.4,7
CUST10594,56.0,M,Los Angeles,81.7,Books,paypal,Quarterly,no,3.6,6
CUST10428,48.0,M,Atlanta,49.53,Home & Kitchen,credit card,Weekly,NO,1.4,8
CUST10479,29.0,M,San Diego,111.83,Footwear,Cash,Monthly,no,,6
CUST10525,46.0,m,Atlanta,115.14,Beauty,cash,Quarterly,No,,8
CUST10531,44.0,FEMALE,Houston,55.34,Accessories,Debit  Card,Weekly,yes,1.1,12
CUST10194,39.0,F,Miami,86.46,Groceries,CASH,Bi-Weekly,No,1.4,8
CUST10223,31.0,F,Boston,77.54,Footwear,,Quarterly,NO,4.9,8
CUST10404,16.0,M,San Diego,37.75,Electronics,CREDIT CARD,Weekly,Yes,4.1,11
CUST10346,50.0,m,Seattle,139.63,Groceries,Credit Card,Monthly,N,1.6,5
10524,34.0,Female,Houston,23.13,Groceries,Debit Card,Monthly,No,1.1,10
CUST10289,45.0,male,Seattle,71.07,Electronics,Credit Card,Quarterly,n,2.4,10
CUST10228,34.0,f,Seattle,39.45,Accessories,credit card,Weekly,NO,7.5,4
CUST10233,56.0,female,Seattle,77.15,Electronics,CASH,Monthly,No,3.0,7
CUST10175,23.0,m,Los Angeles,65.29,Toys,bank transfer,Weekly,no,2.4,5
CUST10482,47.0,f,San Diego,93.87,Sports,debit card,Bi-Weekly,y,3.4,8
CUST10080,16.0,MALE,San Diego,29.09,Sports,Debit  Card,Quarterly,No,1.9,10
CUST10555,55.0,m,Los Angeles,210.65,Sports,PAYPAL,Weekly,NO,3.6,4
CUST10455,29.0,female,Boston,99.32,Sports,Bank Transfer,Annually,No,1.6,7
CUST10531,44.0,FEMALE,Houston,51.45,Accessories,Debit  Card,Weekly,yes,1.6,12
CUST10443,38.0,female,Austin,232.24,Books,Cash,Quarterly,y,2.9,8
CUST10405,43.0,male,Chicago,187.64,Toys,Debit Card,Annually,No,2.9,8
CUST10407,51.0,Male,Los Angeles,101.18,Beauty,debit card,Quarterly,n,3.6,5
CUST10066,39.0,MALE,Atlanta,69.31,Footwear,Bank transfer,Weekly,n,3.6,8
CUST10240,65.0,FEMALE,Philadelphia,37.45,Sports,PAYPAL,Weekly,n,1.6,7
CUST10498,41.0,male,Houston,3120.82,Home & Kitchen,PAYPAL,Monthly,y,1.7,10
CUST10352,41.0,Female,Miami,35.87,Books,debit card,Quarterly,Yes,2.6,4
CUST10050,33.0,m,Atlanta,56.46,Sports,DEBIT CARD,Quarterly,YES,1.7,10
CUST10125,38.0,female,Denver,106.53,Toys,debit card,Bi-Weekly,NO,2.7,8
CUST10126,29.0,F,Phoenix,72.65,Groceries,PAYPAL,Weekly,No,1.2,6
CUST10536,16.0,f,Austin,109.77,Electronics,Debit  Card,Quarterly,Yes,1.2,9
CUST10421,35.0,f,Atlanta,97.11,Beauty,cash,Quarterly,n,1.4,10
CUST10500,30.0,Male,Seattle,51.29,Beauty,Cash,Quarterly,YES,2.3,6
CUST10181,32.0,FEMALE,Boston,27.27,Books,CASH,Annually,no,2.9,11
CUST10331,58.0,f,Dallas,36.17,Electronics,Bank Transfer,Monthly,NO,1.6,12
CUST10562,-5.0,F,Boston,127.66,Electronics,,Quarterly,n,2.8,14
CUST10186,16.0,F,Chicago,18.99,Clothing,Pay Pal,Bi-Weekly,N,2.4,7
CUST10058,50.0,Female,Dallas,137.86,Home & Kitchen,Credit card,Bi-Weekly,n,3.8,9
CUST10573,26.0,M,Miami,144.9,Books,CASH,Weekly,NO,1.6,8
CUST10265,37.0,Male,,226.44,Groceries,bank transfer,Annually,no,,7
CUST10185,31.0,F,San Antonio,129.08,Electronics,paypal,Weekly,Yes,4.0,11
CUST10109,23.0,female,Philadelphia,23.21,Sports,bank transfer,Quarterly,no,3.8,5
CUST10329,44.0,FEMALE,,38.36,Footwear,CC,Weekly,no,5.0,9
CUST10251,44.0,M,Austin,121.89,Toys,CASH,Monthly,Yes,5.0,4
CUST10415,35.0,f,Seattle,154.23,Groceries,Bank Transfer,Quarterly,Y,3.2,5
CUST10188,34.0,Female,Boston,113.37,Books,DEBIT CARD,Weekly,Y,1.9,11
CUST10505,16.0,f,Los Angeles,88.86,Accessories,DEBIT CARD,Quarterly,N,4.6,8
CUST10282,65.0,FEMALE,Denver,82.7,Groceries,Cash,Monthly,y,1.9,11
CUST10489,24.0,female,Chicago,63.35,Clothing,paypal,Annually,Y,3.1,10
CUST10497,52.0,M,Dallas,87.19,Electronics,Bank Transfer,Quarterly,N,5.0,7
CUST10547,26.0,M,San Antonio,112.98,Clothing,credit card,Quarterly,N,2.6,7
CUST10167,35.0,male,Dallas,11.4,Electronics,Pay Pal,Quarterly,YES,3.4,3
CUST10486,45.0,female,Atlanta,53.46,Footwear,DEBIT CARD,Weekly,n,1.5,10
CUST10250,46.0,MALE,Seattle,59.95,Books,Debit Card,Monthly,n,1.2,12
CUST10092,17.0,M,New York,108.8,Toys,CASH,Annually,No,2.2,3
CUST10162,31.0,MALE,Austin,125.55,Toys,Bank Transfer,Quarterly,NO,1.5,4
CUST10131,26.0,FEMALE,Los Angeles,8.62,Electronics,debit card,Quarterly,n,4.6,9
CUST10063,27.0,MALE,San Antonio,67.67,Accessories,CC,Quarterly,,3.0,6
CUST10190,31.0,M,Phoenix,83.96,Toys,CC,Monthly,Y,2.3,0
CUST10200,50.0,female,San Diego,43.66,Accessories,Cash,Quarterly,No,2.4,2
CUST10392,52.0,f,New York,20.39,Beauty,Bank transfer,Bi-Weekly,no,4.8,8
CUST10549,42.0,f,Seattle,37.93,Sports,PayPal,Bi-Weekly,N,3.8,10
CUST10484,28.0,FEMALE,Boston,,Footwear,Debit  Card,Annually,n,3.3,7
CUST10353,54.0,MALE,San Antonio,33.17,Electronics,Debit  Card,Annually,Yes,1.3,9
CUST10329,44.0,FEMALE,San Diego,38.36,Footwear,CC,Weekly,no,5.0,9
CUST10056,40.0,MALE,Austin,109.08,Electronics,cash,Annually,Y,1.6,9
CUST10032,16.0,Female,Atlanta,208.5,Accessories,Debit Card,Annually,y,,5
CUST10398,28.0,F,Seattle,28.04,Accessories,Debit  Card,Monthly,NO,4.9,7
CUST10371,61.0,Female,Boston,78.4,Toys,PayPal,Bi-Weekly,no,1.2,7
CUST10332,59.0,MALE,Dallas,300.23,Home & Kitchen,Cash,Bi-Weekly,Yes,1.8,7
CUST10149,49.0,female,Los Angeles,37.65,Accessories,Bank Transfer,Bi-Weekly,no,2.0,8
CUST10016,40.0,M,Philadelphia,28.83,Footwear,Bank transfer,Weekly,N,3.6,9
CUST10273,30.0,,Atlanta,185.48,Clothing,bank transfer,Quarterly,no,2.4,11
CUST10005,24.0,MALE,Los Angeles,20.02,Sports,PAYPAL,Annually,Yes,4.3,8
CUST10210,29.0,m,Atlanta,124.29,Electronics,CREDIT CARD,Quarterly,N,2.4,6
CUST10446,41.0,male,Miami,141.7,Footwear,Credit card,Monthly,no,2.7,11
CUST10159,22.0,m,Dallas,154.95,Beauty,Credit card,Weekly,N,,9
CUST10597,16.0,m,San Diego,64.35,Footwear,DEBIT CARD,Quarterly,No,3.3,11
CUST10018,24.0,Male,Denver,103.5,Groceries,CC,Bi-Weekly,Y,4.8,9
CUST10319,42.0,M,Dallas,100.58,Footwear,Bank Transfer,Monthly,N,4.7,8
CUST10027,46.0,,Seattle,82.52,Sports,Credit Card,Bi-Weekly,Y,2.6,9
CUST10213,43.0,f,Atlanta,98.63,Clothing,CC,Bi-Weekly,yes,3.8,7
CUST10157,27.0,MALE,,110.9,Clothing,credit card,Monthly,no,4.3,10
CUST10012,27.0,m,San Diego,,Electronics,Credit Card,Bi-Weekly,N,3.5,5
CUST10578,,Female,Los Angeles,37.69,Footwear,paypal,Monthly,YES,,13
CUST10584,31.0,Male,Seattle,108.54,Beauty,Pay Pal,Quarterly,n,2.3,11
CUST10334,48.0,f,Seattle,15.05,Toys,debit card,Bi-Weekly,No,1.1,8
CUST10265,37.0,Male,Phoenix,222.31,Groceries,bank transfer,Annually,no,3.6,7
CUST10041,51.0,M,Dallas,84.72,Clothing,paypal,Quarterly,YES,1.5,5
CUST10130,39.0,,Atlanta,35.94,Books,Cash,Bi-Weekly,Yes,4.4,6
CUST10008,19.0,M,San Diego,143.22,Toys,paypal,Monthly,No,4.6,6
CUST10292,35.0,male,Atlanta,104.06,Sports,Bank transfer,Weekly,YES,2.7,4
CUST10224,28.0,Female,Los Angeles,16.73,Toys,bank transfer,Bi-Weekly,YES,3.6,6
CUST10471,66.0,m,Atlanta,45.67,Accessories,Credit Card,Bi-Weekly,N,4.0,9
CUST10084,31.0,M,Denver,87.96,Groceries,PAYPAL,Weekly,NO,3.0,18
CUST10089,52.0,,Dallas,165.37,Toys,Bank transfer,Annually,y,4.8,10
CUST10158,48.0,female,Philadelphia,107.63,Electronics,Credit card,Quarterly,Y,2.0,11
CUST10030,38.0,Male,Austin,134.62,Sports,CREDIT CARD,Weekly,Y,2.3,4
CUST10387,16.0,F,Seattle,52.28,Sports,Debit Card,Quarterly,NO,3.8,7
CUST10401,36.0,male,Philadelphia,156.4,Footwear,CREDIT CARD,Quarterly,yes,1.5,6
CUST10022,58.0,M,Los Angeles,82.65,Clothing,PayPal,Annually,Y,3.5,7
CUST10459,24.0,MALE,Houston,75.33,Accessories,DEBIT CARD,Annually,NO,2.4,8
CUST10439,50.0,FEMALE,Denver,106.35,Clothing,Bank transfer,Annually,NO,1.6,10
CUST10204,27.0,Female,Austin,242.46,Footwear,bank transfer,Quarterly,YES,4.8,8
CUST10151,24.0,m,Atlanta,2.94,Books,credit card,Monthly,NO,4.8,10
CUST10000,44.0,Male,Denver,68.93,Books,debit card,Bi-Weekly,n,3.4,6
CUST10577,27.0,FEMALE,Seattle,39.24,Footwear,DEBIT CARD,Quarterly,n,,7
CUST10374,44.0,m,Austin,60.5,Clothing,CASH,Bi-Weekly,YES,3.2,9
CUST10475,39.0,MALE,San Antonio,56.02,Clothing,Bank transfer,Weekly,n,4.9,9
CUST10521,37.0,F,Philadelphia,55.82,Toys,DEBIT CARD,Bi-Weekly,n,1.6,6
CUST10264,32.0,male,Los Angeles,201.72,Footwear,bank transfer,Annually,yes,2.9,8
CUST10350,38.0,Male,Chicago,33.83,Electronics,Bank transfer,Quarterly,N,2.5,6
CUST10176,16.0,male,Boston,41.43,Groceries,debit card,Bi-Weekly,YES,3.4,7
CUST10542,45.0,m,New York,373.64,Toys,DEBIT CARD,Quarterly,no,4.0,12
CUST10438,27.0,female,Seattle,36.66,Footwear,Credit card,Monthly,Y,1.9,5
CUST10122,24.0,Female,Austin,38.61,Clothing,Bank transfer,Quarterly,NO,1.4,13
CUST10437,21.0,female,Seattle,120.11,Books,debit card,Annually,No,4.1,10
CUST10312,67.0,f,San Antonio,41.56,Sports,Bank transfer,Quarterly,NO,2.9,6
CUST10504,38.0,M,New York,25.86,Groceries,PayPal,Weekly,yes,1.3,7
CUST10083,33.0,Male,Denver,110.06,Home & Kitchen,PayPal,Annually,no,4.6,10
CUST10091,40.0,M,Seattle,118.54,Home & Kitchen,PayPal,Bi-Weekly,y,2.9,6
CUST10260,35.0,f,New York,72.7,Sports,CASH,Monthly,N,4.2,5
CUST10358,48.0,FEMALE,Austin,69.13,Electronics,Pay Pal,Bi-Weekly,Yes,1.7,9
CUST10207,25.0,MALE,Chicago,127.2,Groceries,CREDIT CARD,Monthly,n,3.7,5
CUST10234,16.0,female,Seattle,124.28,Accessories,Bank Transfer,Weekly,no,3.7,6
CUST10253,30.0,female,Phoenix,97.56,Accessories,Bank Transfer,Monthly,no,3.5,14
CUST10256,52.0,FEMALE,Denver,187.39,Sports,CASH,Bi-Weekly,n,4.2,10
CUST10254,52.0,Male,San Diego,149.28,Books,Debit  Card,Annually,NO,3.4,7
CUST10515,21.0,FEMALE,,47.78,Beauty,Bank transfer,Monthly,no,1.6,4
CUST10163,16.0,male,Boston,61.57,Footwear,CC,Weekly,no,2.2,9
CUST10219,18.0,M,San Diego,58.89,Toys,cash,Bi-Weekly,yes,4.3,9
CUST10320,16.0,MALE,Seattle,67.17,Footwear,Debit  Card,Quarterly,y,2.5,6
CUST10318,39.0,female,Los Angeles,156.18,Books,Credit Card,Weekly,No,2.9,10
CUST10487,39.0,f,Austin,172.19,Toys,bank transfer,Quarterly,n,1.5,7
CUST10424,35.0,male,Miami,83.18,Books,PAYPAL,Quarterly,No,4.6,11
CUST10441,39.0,male,Los Angeles,29.91,Groceries,DEBIT CARD,Annually,no,3.6,3
CUST10295,48.0,Male,San Antonio,116.36,Home & Kitchen,CREDIT CARD,Annually,n,3.0,8
CUST10523,51.0,MALE,Chicago,50.76,Footwear,Bank transfer,Bi-Weekly,N,4.7,6
CUST10290,43.0,Female,Seattle,101.05,Clothing,Debit Card,Quarterly,NO,2.2,7
CUST10406,25.0,f,Austin,50.46,Groceries,Credit card,Bi-Weekly,N,2.3,10
CUST10499,25.0,f,Miami,17.6,Clothing,CREDIT CARD,Quarterly,y,2.8,11
CUST10276,31.0,MALE,Houston,32.24,Beauty,PayPal,Bi-Weekly,No,2.8,11
CUST10103,46.0,Female,Houston,24.35,Books,Bank Transfer,Monthly,N,1.7,9
CUST10235,42.0,F,Miami,143.73,Home & Kitchen,CC,Weekly,Y,2.2,11
CUST10571,47.0,Female,Chicago,69.7,Toys,Cash,Annually,NO,,1
CUST10372,47.0,FEMALE,New York,95.19,Footwear,PayPal,Weekly,n,4.7,10
CUST10146,23.0,FEMALE,Philadelphia,73.2,Books,paypal,Quarterly,Yes,3.9,10
CUST10119,30.0,Female,Atlanta,66.11,Groceries,paypal,Weekly,NO,1.3,13
CUST10263,16.0,female,,14.26,Toys,cash,Quarterly,y,1.2,13
CUST10035,54.0,m,Houston,122.88,Sports,paypal,Monthly,no,4.8,5
CUST10182,36.0,m,Chicago,30.04,Books,Credit card,Monthly,No,2.9,12
CUST10245,29.0,m,Atlanta,114.59,Footwear,CASH,Quarterly,no,1.0,11
CUST10308,28.0,female,Denver,62.17,Groceries,Bank Transfer,Monthly,N,1.7,13
CUST10364,37.0,M,Denver,63.84,Sports,Credit Card,Weekly,Y,4.0,8
CUST10495,18.0,FEMALE,Denver,,Footwear,credit card,Monthly,n,4.1,6
CUST10287,27.0,Male,Atlanta,29.29,Electronics,Bank Transfer,Bi-Weekly,y,3.2,14
CUST10279,60.0,Female,Boston,128.75,Groceries,paypal,Monthly,Yes,4.3,7
CUST10402,25.0,Male,Philadelphia,41.89,Books,Credit Card,Weekly,N,2.6,8
CUST10071,59.0,m,Houston,188.93,Groceries,PAYPAL,Bi-Weekly,No,1.7,7
CUST10096,56.0,MALE,Denver,134.14,Books,cash,Annually,N,4.7,8
CUST10391,68.0,m,Miami,44.6,Toys,paypal,Bi-Weekly,YES,1.1,7
CUST10469,30.0,Male,Phoenix,76.97,Beauty,CC,Annually,no,4.7,9
CUST10274,39.0,F,Phoenix,36.26,Home & Kitchen,PayPal,Quarterly,No,1.0,8
CUST10461,59.0,F,New York,92.67,Clothing,Credit Card,Annually,no,3.4,6
CUST10496,18.0,FEMALE,Boston,65.03,Accessories,bank transfer,Weekly,NO,2.4,3
CUST10266,59.0,MALE,Unknown,48.63,Footwear,paypal,Weekly,Y,2.1,9
CUST10284,26.0,Male,San Antonio,86.07,Footwear,Debit Card,Bi-Weekly,y,1.1,8
CUST10412,52.0,F,Philadelphia,54.67,Toys,paypal,Quarterly,Y,1.1,7
CUST10565,45.0,f,New York,119.89,Sports,Pay Pal,Bi-Weekly,No,3.9,8
CUST10196,54.0,f,San Diego,125.69,Books,credit card,Monthly,No,3.6,6
CUST10420,21.0,Female,San Antonio,116.23,Footwear,Debit Card,Weekly,No,3.7,10
CUST10053,30.0,female,Houston,122.13,Toys,Bank transfer,Monthly,N,4.0,11
CUST10272,35.0,F,Phoenix,41.13,Toys,Debit  Card,Bi-Weekly,NO,4.2,9
CUST10595,32.0,M,New York,212.28,Groceries,DEBIT CARD,Quarterly,Y,3.8,4
CUST10003,30.0,MALE,Philadelphia,135.87,Books,debit card,Monthly,Y,3.7,5
CUST10427,29.0,Male,Phoenix,40.15,Sports,Cash,Annually,No,4.9,8
CUST10503,56.0,M,Miami,128.03,Toys,credit card,Annually,N,1.6,7
CUST10548,20.0,Male,Phoenix,66.98,Home & Kitchen,PayPal,Annually,Y,1.1,6
CUST10134,46.0,male,Dallas,152.49,Beauty,Credit card,Monthly,Yes,1.7,4
CUST10015,46.0,,Dallas,157.4,Footwear,Bank Transfer,Monthly,n,,5
CUST10068,21.0,F,San Diego,41.07,Beauty,Pay Pal,Monthly,N,3.4,10
CUST10073,45.0,F,Los Angeles,21.41,Accessories,Debit Card,Monthly,n,3.0,7
CUST10044,23.0,male,Boston,103.83,Toys,DEBIT CARD,Bi-Weekly,No,4.6,5
CUST10033,32.0,female,Houston,86.83,Beauty,DEBIT CARD,Quarterly,YES,3.8,9
